COD,PROVINCE
2228DB,LIM
2228DD,LIM
2328BB,LIM
2328BD,LIM
2328DB,LIM
2328DD,LIM
2428BB,LIM
2428BD,LIM
2428DB,LIM
2428DD,LIM
2428DD,MP
2528BB,GT
2528BB,LIM
2528BB,MP
2528BD,MP
2528DB,GT
2528DB,MP
2528DD,GT
2528DD,MP
2628BB,GT
2628BB,MP
2628BD,GT
2628BD,MP
2628DB,GT
2628DB,MP
2628DD,FS
2628DD,MP
2728BB,FS
2728BB,MP
2728BD,FS
2728DB,FS
2728DD,FS
2828BB,FS
2828BD,FS
2828DB,FS
2828DB,KZN
2828DD,FS
2828DD,KZN
3028BB,EC
3028BD,EC
3028DB,EC
3028DD,EC
3128BB,EC
3128BD,EC
3128DB,EC
3128DD,EC
3228BB,EC
3228BD,EC
2229AA,LIM
2229AC,LIM
2229CA,LIM
2229CC,LIM
2329AA,LIM
2329AC,LIM
2329CA,LIM
2329CC,LIM
2429AA,LIM
2429AC,LIM
2429CA,LIM
2429CC,LIM
2529AA,LIM
2529AA,MP
2529AC,GT
2529AC,LIM
2529AC,MP
2529CA,GT
2529CA,MP
2529CC,MP
2629AA,MP
2629AC,MP
2629CA,MP
2629CC,MP
2729AA,FS
2729AA,MP
2729AC,FS
2729CA,FS
2729CC,FS
2829AA,FS
2829AC,FS
2829AC,KZN
2829CA,FS
2829CA,KZN
2829CC,KZN
2929AA,KZN
2929CA,KZN
2929CC,KZN
3029AA,EC
3029AA,KZN
3029AC,EC
3029AC,KZN
3029CA,EC
3029CA,KZN
3029CC,EC
3129AA,EC
3129AC,EC
3129CA,EC
3129CC,EC
3229AA,EC
2229AB,LIM
2229AD,LIM
2229CB,LIM
2229CD,LIM
2329AB,LIM
2329AD,LIM
2329CB,LIM
2329CD,LIM
2429AB,LIM
2429AD,LIM
2429CB,LIM
2429CD,LIM
2529AB,LIM
2529AD,LIM
2529AD,MP
2529CB,MP
2529CD,MP
2629AB,MP
2629AD,MP
2629CB,MP
2629CD,MP
2729AB,FS
2729AB,MP
2729AD,FS
2729AD,MP
2729CB,FS
2729CD,FS
2829AB,FS
2829AD,FS
2829AD,KZN
2829CB,KZN
2829CD,KZN
2929AB,KZN
2929AD,KZN
2929CB,KZN
2929CD,KZN
3029AB,KZN
3029AD,EC
3029AD,KZN
3029CB,EC
3029CB,KZN
3029CD,EC
3129AB,EC
3129AD,EC
3129CB,EC
3129CD,EC
2229BA,LIM
2229BC,LIM
2229DA,LIM
2229DC,LIM
2329BA,LIM
2329BC,LIM
2329DA,LIM
2329DC,LIM
2429BA,LIM
2429BC,LIM
2429DA,LIM
2429DC,LIM
2529BA,LIM
2529BC,LIM
2529BC,MP
2529DA,MP
2529DC,MP
2629BA,MP
2629BC,MP
2629DA,MP
2629DC,MP
2729BA,MP
2729BC,FS
2729BC,KZN
2729BC,MP
2729DA,FS
2729DA,KZN
2729DA,MP
2729DC,FS
2729DC,KZN
2829BA,FS
2829BA,KZN
2829BC,FS
2829BC,KZN
2829DA,KZN
2829DC,KZN
2929BA,KZN
2929BC,KZN
2929DA,KZN
2929DC,KZN
3029BA,KZN
3029BC,KZN
3029DA,EC
3029DA,KZN
3029DC,EC
3129BA,EC
3129BC,EC
3129DA,EC
2229BB,LIM
2229BD,LIM
2229DB,LIM
2229DD,LIM
2329BB,LIM
2329BD,LIM
2329DB,LIM
2329DD,LIM
2429BB,LIM
2429BD,LIM
2429DB,LIM
2429DD,LIM
2529BB,LIM
2529BB,MP
2529BD,LIM
2529BD,MP
2529DB,MP
2529DD,MP
2629BB,MP
2629BD,MP
2629DB,MP
2629DD,MP
2729BB,MP
2729BD,FS
2729BD,KZN
2729BD,MP
2729DB,FS
2729DB,KZN
2729DD,KZN
2829BB,KZN
2829BD,KZN
2829DB,KZN
2829DD,KZN
2929BB,KZN
2929BD,KZN
2929DB,KZN
2929DD,KZN
3029BB,KZN
3029BD,KZN
3029DB,EC
3029DB,KZN
3029DD,EC
3029DD,KZN
3129BB,EC
3129BD,EC
2230AA,LIM
2230AC,LIM
2230CA,LIM
2230CC,LIM
2330AA,LIM
2330AC,LIM
2330CA,LIM
2330CC,LIM
2430AA,LIM
2430AC,LIM
2430CA,LIM
2430CC,LIM
2430CC,MP
2530AA,LIM
2530AA,MP
2530AC,LIM
2530AC,MP
2530CA,MP
2530CC,MP
2630AA,MP
2630AC,MP
2630CA,MP
2630CC,MP
2730AA,MP
2730AC,KZN
2730AC,MP
2730CA,KZN
2730CC,KZN
2830AA,KZN
2830AC,KZN
2830CA,KZN
2830CC,KZN
2930AA,KZN
2930AC,KZN
2930CA,KZN
2930CC,KZN
3030AA,KZN
3030AC,KZN
3030CA,KZN
3030CC,EC
3030CC,KZN
3130AA,EC
3130AA,KZN
3130AC,EC
2230AD,LIM
2230CB,LIM
2230CD,LIM
2330AB,LIM
2330AD,LIM
2330CB,LIM
2330CD,LIM
2430AB,LIM
2430AD,LIM
2430CB,LIM
2430CD,LIM
2430CD,MP
2530AB,MP
2530AD,MP
2530CB,MP
2530CD,MP
2630AB,MP
2630AD,MP
2630CB,MP
2630CD,MP
2730AB,MP
2730AD,KZN
2730AD,MP
2730CB,KZN
2730CD,KZN
2830AB,KZN
2830AD,KZN
2830CB,KZN
2830CD,KZN
2930AB,KZN
2930AD,KZN
2930CB,KZN
2930CD,KZN
3030AB,KZN
3030AD,KZN
3030CB,KZN
3030CD,KZN
3130AB,KZN
2230BC,LIM
2230DA,LIM
2230DC,LIM
2330BA,LIM
2330BC,LIM
2330DA,LIM
2330DC,LIM
2430BA,LIM
2430BC,LIM
2430BC,MP
2430DA,LIM
2430DA,MP
2430DC,LIM
2430DC,MP
2530BA,MP
2530BC,MP
2530DA,MP
2530DC,MP
2630BA,MP
2630BC,MP
2630DA,MP
2630DC,MP
2730BA,MP
2730BC,KZN
2730BC,MP
2730DA,KZN
2730DC,KZN
2830BA,KZN
2830BC,KZN
2830DA,KZN
2830DC,KZN
2930BA,KZN
2930BC,KZN
2930DA,KZN
2930DC,KZN
3030BA,KZN
3030BC,KZN
3030DA,KZN
2230BD,LIM
2230DB,LIM
2230DD,LIM
2330BB,LIM
2330BD,LIM
2330DB,LIM
2330DD,LIM
2430BB,LIM
2430BD,LIM
2430BD,MP
2430DB,LIM
2430DB,MP
2430DD,MP
2530BB,MP
2530BD,MP
2530DB,MP
2530DD,MP
2630BB,MP
2630BD,MP
2630DB,MP
2630DD,MP
2730BB,MP
2730BD,KZN
2730BD,MP
2730DB,KZN
2730DD,KZN
2830BB,KZN
2830BD,KZN
2830DB,KZN
2830DD,KZN
2930BB,KZN
2930BD,KZN
2930DB,KZN
2930DD,KZN
3030BB,KZN
3030BD,KZN
2231AC,LIM
2231CA,LIM
2231CC,LIM
2331AA,LIM
2331AC,LIM
2331CA,LIM
2331CC,LIM
2431AA,LIM
2431AA,MP
2431AC,LIM
2431AC,MP
2431CA,LIM
2431CA,MP
2431CC,MP
2531AA,MP
2531AC,MP
2531CA,MP
2531CC,MP
2631AA,MP
2731AA,MP
2731AC,KZN
2731AC,MP
2731CA,KZN
2731CC,KZN
2831AA,KZN
2831AC,KZN
2831CA,KZN
2831CC,KZN
2931AA,KZN
2931AC,KZN
2931CA,KZN
2931CC,KZN
2231AD,LIM
2231CB,LIM
2231CD,LIM
2331AB,LIM
2331AD,LIM
2331CB,LIM
2331CD,LIM
2431AB,LIM
2431AB,MP
2431AD,LIM
2431AD,MP
2431CB,LIM
2431CB,MP
2431CD,MP
2531AB,MP
2531AD,MP
2531CB,MP
2531CD,MP
2731AB,KZN
2731AB,MP
2731AD,KZN
2731AD,MP
2731CB,KZN
2731CD,KZN
2831AB,KZN
2831AD,KZN
2831CB,KZN
2831CD,KZN
2931AB,KZN
2931AD,KZN
2231DC,LIM
2331BA,LIM
2331BC,LIM
2331DA,LIM
2331DC,LIM
2331DC,MP
2431BA,LIM
2431BA,MP
2431BC,MP
2431DA,MP
2431DC,MP
2531BA,MP
2531BC,MP
2531DA,MP
2531DC,MP
2731BC,KZN
2731DA,KZN
2731DC,KZN
2831BA,KZN
2831BC,KZN
2831DA,KZN
2831DC,KZN
2931BA,KZN
2331DD,LIM
2331DD,MP
2431BB,MP
2431BD,MP
2431DB,MP
2431DD,MP
2531BB,MP
2531BD,MP
2531DB,MP
2531DD,MP
2631DD,KZN
2731BB,KZN
2731BD,KZN
2731DB,KZN
2731DD,KZN
2831BB,KZN
2831BD,KZN
2831DB,KZN
2831DD,KZN
2432AC,MP
2432CA,MP
2432CC,MP
2532AA,MP
2532AC,MP
2532CA,MP
2632CC,KZN
2732AA,KZN
2732AC,KZN
2732CA,KZN
2732CC,KZN
2832AA,KZN
2832AC,KZN
2832CA,KZN
2832CC,KZN
2632CD,KZN
2732AB,KZN
2732AD,KZN
2732CB,KZN
2732CD,KZN
2832AB,KZN
2832AD,KZN
2832CB,KZN
2632DC,KZN
2732BA,KZN
2732BC,KZN
2732DA,KZN
2732DC,KZN
2832BA,KZN
2832BC,KZN
2632DD,KZN
2732BB,KZN
2732BD,KZN
